"name","address","addressUrl","email","phone","website2","hoursOfOperation","website"
"apache-tactical-airsoft","Eva AL 35621","https://www.google.com/maps/search/?api=1&query=+Eva+AL+35621","","","","[]",
"apache-tactical-airsoft","487 Capshaw Rd Madison AL 35757","https://www.google.com/maps/search/?api=1&query=487+Capshaw+Rd+Madison+AL+35757","aptacmilsim@yahoo.com","256-886-0386","","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t5:00pm""}]",
"detective-privado-benidorm","AL","https://www.google.com/maps/search/?api=1&query=++AL","","","","[]",
"klinikacz","AL","https://www.google.com/maps/search/?api=1&query=++AL","","","","[]",
"mt-doom-paintball-and-airsoft","3071 County Rd 515 Hanceville AL 35077","https://www.google.com/maps/search/?api=1&query=3071+County+Rd+515+Hanceville+AL+35077","mtdoom@hiwaay.net","256-339-1601","mtdoompaintball.com","[{""day"":""Sunday"",""time"":""10:00am -\n\t\t\t\t6:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t6:00pm""}]","http://www.mtdoompaintball.com/"
"ohatchee-airsoft-field","Ohatchee AL 36271","https://www.google.com/maps/search/?api=1&query=+Ohatchee+AL+36271","ohatcheeairsoftfield@gmail.com","256-490-5110","ohatcheeairsoft.com","[{""day"":""Sunday"",""time"":""10:00am -\n\t\t\t\t5:00pm""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""10:00am -\n\t\t\t\t5:00pm""}]","http://ohatcheeairsoft.com/"
"ridgeline-airsoft","8745 Pine Mountain Rd Springville AL 35146","https://www.google.com/maps/search/?api=1&query=8745+Pine+Mountain+Rd+Springville+AL+35146","Airsoft@ridgeriding.com","205-467-7433","ridgelineairsoft.com","[{""day"":""Sunday"",""time"":""Closed""},{""day"":""Monday"",""time"":""Closed""},{""day"":""Tuesday"",""time"":""Closed""},{""day"":""Wednesday"",""time"":""Closed""},{""day"":""Thursday"",""time"":""Closed""},{""day"":""Friday"",""time"":""Closed""},{""day"":""Saturday"",""time"":""9:00am -\n\t\t\t\t5:00pm""}]","http://www.ridgelineairsoft.com/"
"rose-hill-war-zone","33071 Rose Hill Rd Dozier AL 36028","https://www.google.com/maps/search/?api=1&query=33071+Rose+Hill+Rd+Dozier+AL+36028","info@rosehillwarzone.com","334-465-9733","rosehillwarzone.com","[]","http://www.rosehillwarzone.com/"
"southern-tactical-airsoft-games","4901 Montee Rd Theodore AL 36582","https://www.google.com/maps/search/?api=1&query=4901+Montee+Rd+Theodore+AL+36582","","","","[]",
"swat","AL","https://www.google.com/maps/search/?api=1&query=++AL","","","","[]",
