Location,Name,Address,Phone,Activities,Website,Email
Metro Manila,Camp Sandugo,"5th level Market Market Mall, Bonifacio Global City, Taguig City",(+63 2) 8856-0453,"Top-rope, lead climbing and bouldering",,
Metro Manila,Climb Central Manila,"The Portal, Mayflower Street, Greenfield District, Mandaluyong City",(+63 2) 8721-8307,"Top-rope, lead climbing and bouldering","http://www.climbcentral.ph",
Metro Manila,Power Up - R.O.X.,"Inside Recreational Outdoor Exchange (ROX) outdoor shop, B1 Bonifacio High Street, Bonifacio Global City, Taguig",(+63 2) 8832-2185,"Top-rope and lead climbing",,
Metro Manila,Power Up - Cubao,"Centro Atletico #25 West Road corner North Road, Cubao, Quezon City",(+63 2) 3412-7480,"Top-rope (main), lead climbing and bouldering",,
Metro Manila,Power Up - Tandang Sora,"#690 Tandang Sora Avenue, Old Balara, Quezon City",(+63 2) 8697-8413,"Top-rope, lead climbing and bouldering",,
Metro Manila,Rockmeister,"Gold's Gym Athletics, Warehouse 3, Greenfield District, Sheridan Street, Mandaluyong City",(+63 998) 861-2033,"Bouldering","info@rockmeister.ph"
Metro Manila,The Bouldering Hive,"Upper Ground Floor, Circuit Lane, Circuit Makati, Makati City",(+63 2) 8288-2856,"Bouldering",,
Metro Manila,The Edge Climbing Gym by TUD,"The Upper Deck Sport Center, 6/F Ortigas Technopoint Bldg., 1 Dona Julia Vargas Avenue, Pasig City",(+63 2) 8942-4585,"Top-rope and lead climbing",,
Other Luzon,Kalay-At Adventures,"Casa Vallejo, Upper Session Road, Baguio City",,Top-rope,"https://www.facebook.com/Kalay-at-Adventures-340594726064742/"
Other Luzon,Urban Peak Rock Climbing,"Inside Fitness Quest Gym, Level 4 Lotus Central Mall, Nueno Avenue, Imus City, Cavite 4103",(+63 995) 513-0450,"Top-rope, lead climbing and bouldering",,
Visayas,Alpha Fitness Center,"Patio Pacific Resort, Balabag, Boracay Island, Malay, Aklan 5608",(+63 36) 288-3888,"","http://www.alphafitnessboracay.com",
Visayas,Power Up - ROC (Rock Outdoor Center),"11th Street cor. Tindalo Street, Bacolod City",(+63 927) 552-5025,"Top-rope and lead climbing","info@powerup-roc.com"
Visayas,Cojuangco Wall Climbing Facility,"Manuel Y. Torres Sports Center, Bago City",(+63 949) 942-8814,"Top-rope","takladbago@gmail.com"
Visayas,Adventure Central,"Esplanade 1, Iloilo Riverside Blvd., Mandurriao, Iloilo City",,Top-rope,,
Visayas,Pump Factory,"San Jose Street, Brgy. Tap-ok, Molo, Iloilo City 5000",,Top-rope,,
Visayas,Greyhound Climbing Gym,"Foundation University North Campus, Dr. V. Locsin Street, Dumaguete City",(+63 35) 422-9167,"Top-rope","info@greyhoundclimbinggym.com"
Mindanao,Bukid Outdoor Shop and Climbing Gym,"206 P. Burgos Street, Tacloban City 6000",(+63 53) 523-7625,Bouldering,
Mindanao,Gosam Fitness Republic,"Brgy. 92 Purok 6 Apitong, Tacloban City",(+63 912) 097-4351,"Top-Rope",,
Mindanao,Malasag Resort/Marco Hotel Sports Avenue,"Alwana Business Park, Marco Hotel, Cugman, Cagayan de Oro City",(+63 88) 855-2201,"Top-rope and bouldering",,
Mindanao,Guru Climbing Gym,"Mandumol, Macasandig, Cagayan de Oro City",(+63 926) 630-0525,Bouldering,
Mindanao,D' Leonor Rock Climbing,"D' Leonor Inland Resort & Adventure Park, Purok 5, Brgy. Communal, Buhangin, Davao City 8000",(+63 922) 829-3370 / (+63 915) 328-6857,,
Mindanao,Wolfpack Boulder Gym,"Grande Residence, Pabalan Village Rd., Digos City 8000","https://www.facebook.com/WolfPackBoulder/","darwin.regner@example.com"
